Ref,Val,Package,PosX,PosY,Rot,Side
"SW4:8","SW4:8","MXOnly-1U-Hotswap",90.582750,-84.401660,0.000000,top
"SW4:9","SW4:9","MXOnly-1U-Hotswap",109.632750,-83.131660,0.000000,top
"SW4:10","SW4:10","MXOnly-1U-Hotswap",128.682750,-81.534000,0.000000,top
"SW4:11","SW4:11","MXOnly-1U-Hotswap",147.732750,-83.131660,0.000000,top
"SW4:12","SW4:12","MXOnly-1U-Hotswap",166.782750,-86.306660,0.000000,top
"SW4:13","SW4:13","MXOnly-1.5U-Hotswap",190.595250,-86.306660,0.000000,top
"SW4:14","SW4:02","MXOnly-1U-Hotswap",228.600000,-86.309200,180.000000,top
"SW4:132","SW4:132","MXOnly-1U-Hotswap",185.826400,-86.306660,90.000000,top
"SW5:0","SW5:0","MXOnly-1.5U-Hotswap",223.850200,-67.259200,0.000000,top
"SW5:1","SW5:1","MXOnly-1U-Hotswap",247.650000,-67.259200,0.000000,top
"SW5:2","SW5:2","MXOnly-1U-Hotswap",266.700000,-64.084200,0.000000,top
"SW5:3","SW5:3","MXOnly-1U-Hotswap",285.750000,-62.484000,0.000000,top
"SW5:4","SW5:4","MXOnly-1U-Hotswap",304.800000,-64.084200,0.000000,top
"SW5:5","SW5:5","MXOnly-1U-Hotswap",323.850000,-65.354200,0.000000,top
"SW5:6","SW5:6","MXOnly-1U-Hotswap",342.900000,-65.354200,0.000000,top
"SW5:7","SW5:7","MXOnly-1U-Hotswap",71.532750,-65.354200,0.000000,top
"SW5:8","SW5:8","MXOnly-1U-Hotswap",90.582750,-65.354200,0.000000,top
"SW5:9","SW5:9","MXOnly-1U-Hotswap",109.632750,-64.081660,0.000000,top
"SW5:10","SW5:10","MXOnly-1U-Hotswap",128.682750,-62.484000,0.000000,top
"SW5:11","SW5:11","MXOnly-1U-Hotswap",147.732750,-64.081660,0.000000,top
"SW5:12","SW5:12","MXOnly-1U-Hotswap",166.782750,-67.259200,0.000000,top
"SW5:13","SW5:13","MXOnly-1.5U-Hotswap",190.595250,-67.259200,0.000000,top
"SW5:14","SW5:02","MXOnly-1U-Hotswap",228.574600,-67.259200,180.000000,top
"SW5:132","SW5:132","MXOnly-1U-Hotswap",185.826400,-67.259200,90.000000,top
"SX0:2","SX0:2","MXOnly-1U-Hotswap",347.218000,-170.002200,65.000000,top
"SX0:3","SX0:3","MXOnly-1U-Hotswap",329.946000,-161.950400,65.000000,top
"SX0:10","SX0:3","MXOnly-1U-Hotswap",84.474050,-161.952940,295.000000,top
"SX0:11","SX0:2","MXOnly-1U-Hotswap",67.207130,-170.002200,295.000000,top
"SX1:5","SX1:5","MXOnly-1U-Hotswap",337.997800,-144.678400,65.000000,top
"SX1:6","SX1:6","MXOnly-1U-Hotswap",355.269800,-152.730200,65.000000,top
"SX1:7","SX1:6","MXOnly-1U-Hotswap",59.157870,-152.737820,295.000000,top
"SX1:8","SX1:5","MXOnly-1U-Hotswap",76.422250,-144.686020,295.000000,top
"U1","MCP23018-E_SO","SOIC127P1030X265-28N",227.406200,-45.415200,180.000000,top
"U4","ATMEGA32U4-AU","ATMEGA32U4-AU",178.033680,-43.980100,45.000000,top
"Y1","16MHz","Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering_Compact",190.322200,-51.028600,90.000000,top
